nome_original,nome_normalizado,formato,url,data_coleta
Volume de Tráfego por Praça - Concessionárias 2019,volume de trafego por praca - concessionarias 2019,CSV,https://dados.antt.gov.br/dataset/5bf70ec3-b24e-4f73-99a0-78b200f5e915/resource/e48ac27c-f02e-435f-a4e3-ac35f287a3c9/download/volume-trafego-praca-pedagio-2019.csv,2026-03-17 18:55:27.662448
Volume de Tráfego por Praça - Concessionárias 2019,volume de trafego por praca - concessionarias 2019,JSON,https://dados.antt.gov.br/dataset/5bf70ec3-b24e-4f73-99a0-78b200f5e915/resource/b5b836b6-0e76-4ded-a51c-f6851793ea37/download/volume-trafego-praca-pedagio-2019.json,2026-03-17 18:55:27.662454
Volume de Tráfego por Praça - Concessionárias 2020,volume de trafego por praca - concessionarias 2020,CSV,https://dados.antt.gov.br/dataset/5bf70ec3-b24e-4f73-99a0-78b200f5e915/resource/ec91ba23-5cc4-44e7-92a0-2f73b8095b4f/download/volume-trafego-praca-pedagio-2020.csv,2026-03-17 18:55:27.662459
Volume de Tráfego por Praça - Concessionárias 2020,volume de trafego por praca - concessionarias 2020,JSON,https://dados.antt.gov.br/dataset/5bf70ec3-b24e-4f73-99a0-78b200f5e915/resource/f8fce868-e5ed-455e-96be-69b14448b241/download/volume-trafego-praca-pedagio-2020.json,2026-03-17 18:55:27.662464
Volume de Tráfego por Praça - Concessionárias 2021,volume de trafego por praca - concessionarias 2021,CSV,https://dados.antt.gov.br/dataset/5bf70ec3-b24e-4f73-99a0-78b200f5e915/resource/07e6461d-01f3-4f17-ac9e-f556aaf05d7a/download/volume-trafego-praca-pedagio-2021.csv,2026-03-17 18:55:27.662469
Volume de Tráfego por Praça - Concessionárias 2021,volume de trafego por praca - concessionarias 2021,JSON,https://dados.antt.gov.br/dataset/5bf70ec3-b24e-4f73-99a0-78b200f5e915/resource/baa7bba1-2169-43a2-99c9-cc103fc6b478/download/volume-trafego-praca-pedagio-2021.json,2026-03-17 18:55:27.662474
Volume de Tráfego por Praça - Concessionárias 2022,volume de trafego por praca - concessionarias 2022,CSV,https://dados.antt.gov.br/dataset/5bf70ec3-b24e-4f73-99a0-78b200f5e915/resource/c01c6e55-1bbb-457f-9e84-40fd2f18c80a/download/volume-trafego-praca-pedagio-2022.csv,2026-03-17 18:55:27.662479
Volume de Tráfego por Praça - Concessionárias 2022,volume de trafego por praca - concessionarias 2022,JSON,https://dados.antt.gov.br/dataset/5bf70ec3-b24e-4f73-99a0-78b200f5e915/resource/6d2aadff-8b8b-4073-aaca-7f595787be1e/download/volume-trafego-praca-pedagio-2022.json,2026-03-17 18:55:27.662484
Volume de Tráfego por Praça - Concessionárias 2023,volume de trafego por praca - concessionarias 2023,CSV,https://dados.antt.gov.br/dataset/5bf70ec3-b24e-4f73-99a0-78b200f5e915/resource/e37feed2-816d-4541-897a-8c89214f6a13/download/volume-trafego-praca-pedagio-2023.csv,2026-03-17 18:55:27.662489
Volume de Tráfego por Praça - Concessionárias 2023,volume de trafego por praca - concessionarias 2023,JSON,https://dados.antt.gov.br/dataset/5bf70ec3-b24e-4f73-99a0-78b200f5e915/resource/1ac743ec-b665-4224-8384-1057e47d58c7/download/volume-trafego-praca-pedagio-2023.json,2026-03-17 18:55:27.662497
Volume de Tráfego por Praça - Concessionárias 2024,volume de trafego por praca - concessionarias 2024,CSV,https://dados.antt.gov.br/dataset/5bf70ec3-b24e-4f73-99a0-78b200f5e915/resource/7f622637-a442-4f3c-8360-aebc41806ca3/download/volume-trafego-praca-pedagio-2024.csv,2026-03-17 18:55:27.662502
Volume de Tráfego por Praça - Concessionárias 2024,volume de trafego por praca - concessionarias 2024,JSON,https://dados.antt.gov.br/dataset/5bf70ec3-b24e-4f73-99a0-78b200f5e915/resource/b203d8c9-1a89-492b-86e2-723eb1702619/download/volume-trafego-praca-pedagio-2024.json,2026-03-17 18:55:27.662507
Volume de Tráfego por Praça - Concessionárias 2025 Diário,volume de trafego por praca - concessionarias 2025 diario,CSV,https://dados.antt.gov.br/dataset/5bf70ec3-b24e-4f73-99a0-78b200f5e915/resource/183e346e-6f87-4bb2-9bf3-4b53f3bbe4e4/download/volume-trafego-praca-pedagio-2025.csv,2026-03-17 18:55:27.662512
Volume de Tráfego por Praça - Concessionárias 2025 Diário,volume de trafego por praca - concessionarias 2025 diario,JSON,https://dados.antt.gov.br/dataset/5bf70ec3-b24e-4f73-99a0-78b200f5e915/resource/8a216ae6-0173-4752-a946-8fae35f9cde7/download/volume-trafego-praca-pedagio-2025.json,2026-03-17 18:55:27.662518
Volume de Tráfego por Praça - Concessionárias 2025 Mensal consolidado,volume de trafego por praca - concessionarias 2025 mensal consolidado,CSV,https://dados.antt.gov.br/dataset/5bf70ec3-b24e-4f73-99a0-78b200f5e915/resource/819edd78-2918-46e1-aaee-10f46427f805/download/volume-trafego-praca-pedagio-2025_mensal_consolidado.csv,2026-03-17 18:55:27.662523
Volume de Tráfego por Praça - Concessionárias 2025 Mensal consolidado,volume de trafego por praca - concessionarias 2025 mensal consolidado,JSON,https://dados.antt.gov.br/dataset/5bf70ec3-b24e-4f73-99a0-78b200f5e915/resource/66b18dc6-c985-45d9-a16d-18c50e5d09b0/download/volume-trafego-praca-pedagio-2025_mensal_consolidado.json,2026-03-17 18:55:27.662528
Volume de Tráfego por Praça - Concessionárias 2024 Mensal consolidado,volume de trafego por praca - concessionarias 2024 mensal consolidado,CSV,https://dados.antt.gov.br/dataset/5bf70ec3-b24e-4f73-99a0-78b200f5e915/resource/b7b2e108-99d8-449f-abbe-63a248b1172b/download/volume-trafego-praca-pedagio-2024_mensal_consolidado.csv,2026-03-17 18:55:27.662534
Volume de Tráfego por Praça - Concessionárias 2024 Mensal consolidado,volume de trafego por praca - concessionarias 2024 mensal consolidado,JSON,https://dados.antt.gov.br/dataset/5bf70ec3-b24e-4f73-99a0-78b200f5e915/resource/ea0e05a6-d39e-4bcb-a941-682c9d725964/download/volume-trafego-praca-pedagio-2024_mensal_consolidado.json,2026-03-17 18:55:27.662539
Volume de Tráfego por Praça - Concessionárias 2025 Diário,volume de trafego por praca - concessionarias 2025 diario,JSON,https://dados.antt.gov.br/dataset/5bf70ec3-b24e-4f73-99a0-78b200f5e915/resource/e1f6ba20-eba7-459a-8434-13ee725f67c3/download/volume-trafego-praca-pedagio-2025_diario.json,2026-03-17 18:55:27.662544
Volume de Tráfego por Praça - Concessionárias 2026 Diário,volume de trafego por praca - concessionarias 2026 diario,CSV,https://dados.antt.gov.br/dataset/5bf70ec3-b24e-4f73-99a0-78b200f5e915/resource/27d33a3c-651f-4d3c-8af2-117bb1d6fb14/download/volume-trafego-praca-pedagio-2026_diario.csv,2026-03-17 18:55:27.662549
Volume de Tráfego por Praça - Concessionárias 2026 Diário,volume de trafego por praca - concessionarias 2026 diario,JSON,https://dados.antt.gov.br/dataset/5bf70ec3-b24e-4f73-99a0-78b200f5e915/resource/399606a4-609c-41db-8ba8-afb296914c3e/download/volume-trafego-praca-pedagio-2026_diario.json,2026-03-17 18:55:27.662554
Volume de Tráfego por Praça - Concessionárias 2026 Mensal consolidado,volume de trafego por praca - concessionarias 2026 mensal consolidado,CSV,https://dados.antt.gov.br/dataset/5bf70ec3-b24e-4f73-99a0-78b200f5e915/resource/b475d3ac-e804-4ca3-94f7-106bbd40d2b5/download/volume-trafego-praca-pedagio-2026_mensal_consolidado.csv,2026-03-17 18:55:27.662559
Volume de Tráfego por Praça - Concessionárias 2026 Mensal consolidado,volume de trafego por praca - concessionarias 2026 mensal consolidado,JSON,https://dados.antt.gov.br/dataset/5bf70ec3-b24e-4f73-99a0-78b200f5e915/resource/5802b0fb-5dbc-4672-a67f-4859f6f73fd9/download/volume-trafego-praca-pedagio-2026_mensal_consolidado.json,2026-03-17 18:55:27.662565
